BuildingAge,Surface moyenne par étage,Ratio Largest Use / Total,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,PropertyCategory,SiteEnergyUse(kBtu),PrimaryEnergyType_Electricity,PrimaryEnergyType_Mixed,PrimaryEnergyType_NaturalGas,PropertyCategory_Healthcare,PropertyCategory_Hospitality,PropertyCategory_Industrial & Storage,PropertyCategory_Mixed Use,PropertyCategory_Office,PropertyCategory_Other,PropertyCategory_Public / Institutional,PropertyCategory_Retail & Food,Log_SiteEnergyUse(kBtu)
62,42128.0,1.0,1.0,1,42128,0,42128,42128.0,0.0,Education,1709307.5,0,1,0,0,0,0,0,0,0,0,0,14.351599460727876
84,22376.5,1.0400420083569817,1.0,2,44753,0,44753,46545.0,0.0,Education,1638691.625,0,0,1,0,0,0,0,0,0,0,0,14.309409302005484
27,28649.0,1.0625501762714231,1.0,2,57298,0,57298,60882.0,0.0,Education,1586388.75,1,0,0,0,0,0,0,0,0,0,0,14.276971394996906
60,45174.0,1.0,1.0,1,45174,0,45174,45174.0,0.0,Education,1980825.25,0,0,1,0,0,0,0,0,0,0,0,14.499024613605929
28,16480.5,1.0,1.0,2,32961,0,32961,32961.0,0.0,Education,1573155.0,0,0,1,0,0,0,0,0,0,0,0,14.268594350676763
66,109794.0,1.0,1.0,1,109794,0,109794,109794.0,0.0,Education,3296526.25,0,0,1,0,0,0,0,0,0,0,0,15.008380123844416
16,15281.0,1.0,1.0,2,30562,0,30562,30562.0,0.0,Education,1622231.375,0,1,0,0,0,0,0,0,0,0,0,14.299313767884405
65,18412.5,1.2040733197556008,1.0,2,36825,0,36825,44340.0,10415.0,Education,1755072.75,0,1,0,0,0,0,0,0,0,0,0,14.378021436791194
91,13636.5,1.0,1.0,2,27273,0,27273,27273.0,0.0,Education,1258619.125,0,0,1,0,0,0,0,0,0,0,0,14.045526539936008
63,20811.0,1.0,1.0,1,20811,0,20811,20811.0,0.0,Education,1267348.5,0,0,1,0,0,0,0,0,0,0,0,14.052438269725016
92,32500.0,1.0,1.0,3,97500,0,97500,97500.0,0.0,Education,3736960.0,0,0,1,0,0,0,0,0,0,0,0,15.13378327223441
3,57468.0,1.178916962483469,2.0,1,57468,0,57468,67750.0,0.0,Education,3543985.5,1,0,0,0,0,0,0,0,0,0,0,15.080762781444774
7,69352.5,1.0,1.0,2,138705,0,138705,138705.0,0.0,Education,4959298.0,1,0,0,0,0,0,0,0,0,0,0,15.416774958067831
2,17890.0,1.0620458356623812,1.0,2,35780,0,35780,38000.0,0.0,Education,2912264.0,1,0,0,0,0,0,0,0,0,0,0,14.884441686905468
2,24462.5,1.2979049565661729,1.0,2,48925,0,48925,63500.0,0.0,Education,1662054.125,1,0,0,0,0,0,0,0,0,0,0,14.323565421717525
9,74928.0,1.0,4.0,2,149856,0,149856,149856.0,0.0,Education,6335315.5,1,0,0,0,0,0,0,0,0,0,0,15.661650331026092
23,49882.5,1.0,1.0,2,99765,0,99765,99765.0,0.0,Education,3185005.25,1,0,0,0,0,0,0,0,0,0,0,14.973964809309866
47,14694.75,1.0,1.0,4,58779,0,58779,58779.0,0.0,Education,5000717.0,1,0,0,0,0,0,0,0,0,0,0,15.42509206008888
1,15000.0,1.0161777777777778,1.0,3,45000,0,45000,45728.0,0.0,Education,1325972.75,1,0,0,0,0,0,0,0,0,0,0,14.097657653151904
54,68072.0,1.012398636737572,1.0,1,68072,0,68072,68916.0,0.0,Education,3180819.25,1,0,0,0,0,0,0,0,0,0,0,14.972649661747065
62,57066.6,1.0607290429077605,4.0,5,285333,0,285333,302661.0,148865.0,Healthcare,68090728.0,0,1,0,1,0,0,0,0,0,0,0,18.03635162381981
63,87900.0,1.0,6.0,10,879000,0,879000,879000.0,0.0,Healthcare,253832464.0,0,1,0,1,0,0,0,0,0,0,0,19.352185020745686
26,119503.8,1.0068550121418731,6.0,5,597519,0,597519,601615.0,48607.0,Healthcare,143423024.0,0,1,0,1,0,0,0,0,0,0,0,18.781309038094193
16,144836.375,1.1652649412138352,9.0,8,1158691,0,1158691,1350182.0,387651.0,Healthcare,293090784.0,0,1,0,1,0,0,0,0,0,0,0,19.495992965405236
16,50218.57142857143,0.6133246095639063,1.0,7,351530,150455,201075,215602.0,0.0,Healthcare,42709624.0,1,0,0,1,0,0,0,0,0,0,0,17.56993486263394
22,126140.71428571428,0.9282909675702306,7.0,14,1765970,0,1765970,1639334.0,441551.0,Healthcare,291614432.0,0,1,0,1,0,0,0,0,0,0,0,19.49094305275867
50,415632.0,1.1633367979366362,8.0,1,415632,0,415632,483520.0,266833.0,Healthcare,98960776.0,0,1,0,1,0,0,0,0,0,0,0,18.41023413767492
55,18287.666666666668,2.0,0.0,3,54863,0,54863,109726.0,0.0,Healthcare,2037720.625,1,0,0,1,0,0,0,0,0,0,0,14.527342891187935
3,41250.0,0.7318181818181818,1.0,8,330000,0,330000,241500.0,0.0,Healthcare,57764408.0,0,1,0,1,0,0,0,0,0,0,0,17.871883382738115
96,46808.25,2.697534622635967,1.0,8,374466,0,374466,1010135.0,0.0,Healthcare,163945984.0,0,1,0,1,0,0,0,0,0,0,0,18.91504757178154
89,7369.5,1.0,1.0,12,88434,0,88434,88434.0,0.0,Hospitality,7226362.5,0,1,0,0,1,0,0,0,0,0,0,15.793246493880627
20,9415.09090909091,0.8099183129598517,1.0,11,103566,15064,88502,83880.0,15064.0,Hospitality,8387933.0,0,0,1,0,1,0,0,0,0,0,0,15.942304802589588
90,6132.0,1.0,1.0,10,61320,0,61320,61320.0,0.0,Hospitality,6794584.0,0,1,0,0,1,0,0,0,0,0,0,15.731636529382916
36,9754.444444444443,0.7030698257204693,1.0,18,175580,62000,113580,123445.0,68009.0,Hospitality,14172606.0,0,0,1,0,1,0,0,0,0,0,0,16.466821574984518
90,7546.181818181818,0.9800501156515036,1.0,11,83008,0,83008,81352.0,0.0,Hospitality,5758795.0,0,1,0,0,1,0,0,0,0,0,0,15.566238983044945
112,10932.266666666666,1.0,1.0,15,163984,0,163984,163984.0,0.0,Hospitality,13723820.0,0,1,0,0,1,0,0,0,0,0,0,16.434643640030767
88,7223.222222222223,1.0,1.0,9,65009,0,65009,65009.0,0.0,Hospitality,6596057.5,0,1,0,0,1,0,0,0,0,0,0,15.701982831633819
36,9574.30303030303,0.9353034638172888,1.0,33,315952,57600,258352,295511.0,57600.0,Hospitality,22325364.0,1,0,0,0,1,0,0,0,0,0,0,16.921234033977285
94,8380.90909090909,0.7309903460245146,1.0,11,92190,25200,66990,67390.0,25200.0,Hospitality,10750010.0,0,1,0,0,1,0,0,0,0,0,0,16.190417335793235
100,10435.2,1.0,1.0,10,104352,0,104352,104352.0,0.0,Hospitality,10154608.0,0,1,0,0,1,0,0,0,0,0,0,16.13343824905496
15,14765.333333333334,0.6547543796279574,1.0,6,88592,30586,58006,58006.0,30586.0,Hospitality,3663534.5,1,0,0,0,1,0,0,0,0,0,0,15.113939222722186
25,19834.5,0.7101010864907106,1.0,8,158676,30301,128375,112676.0,42000.0,Hospitality,5328051.5,0,0,1,0,1,0,0,0,0,0,0,15.488496344757419
15,17186.6,0.7500552756217053,1.0,10,171866,38281,133585,128909.0,0.0,Hospitality,11061916.0,0,1,0,0,1,0,0,0,0,0,0,16.219018866344626
38,13682.0,0.7015640988159626,1.0,5,68410,16200,52210,47994.0,0.0,Hospitality,4456714.5,0,1,0,0,1,0,0,0,0,0,0,15.309922617717225
22,20467.75,1.0,1.0,4,81871,0,81871,81871.0,0.0,Hospitality,6668568.5,0,1,0,0,1,0,0,0,0,0,0,15.71291592712419
47,13842.083333333334,1.049426567532585,1.0,24,332210,205970,126240,348630.0,0.0,Hospitality,16163194.0,1,0,0,0,1,0,0,0,0,0,0,16.598247301911137
86,4931.7,0.8474866678832856,1.0,20,98634,10043,88591,83591.0,10043.0,Hospitality,4841347.5,1,0,0,0,1,0,0,0,0,0,0,15.392703855589147
31,10164.285714285714,0.5810260014054813,1.0,7,71150,0,71150,41340.0,13730.0,Hospitality,5348309.0,1,0,0,0,1,0,0,0,0,0,0,15.492291181118645
